City,Sentiment,Month,Count,Latitude,Longitude
bonaduz,NEGATIVE,august,3,46.81132,9.3984396
bonaduz,NEGATIVE,october,2,46.81132,9.3984396
bonaduz,POSITIVE,september,5,46.81132,9.3984396
bonfol,NEGATIVE,august,4,47.4767014,7.1523017000000015
bonfol,NEGATIVE,july,1,47.4767014,7.1523017000000015
bonfol,POSITIVE,october,6,47.4767014,7.1523017000000015
bonfol,POSITIVE,september,8,47.4767014,7.1523017000000015
borex,POSITIVE,august,7,46.379071,6.1777222
borex,NEGATIVE,july,2,46.379071,6.1777222
borex,POSITIVE,october,8,46.379071,6.1777222
borex,POSITIVE,september,9,46.379071,6.1777222
bottens,POSITIVE,august,2,46.6169088,6.6607269
bottens,POSITIVE,october,3,46.6169088,6.6607269
bottens,NEGATIVE,september,2,46.6169088,6.6607269
bouveret,POSITIVE,july,2,46.3835697,6.857135799999999
bouveret,POSITIVE,may,5,46.3835697,6.857135799999999
bouveret,POSITIVE,october,2,46.3835697,6.857135799999999
bouveret,POSITIVE,september,2,46.3835697,6.857135799999999
bramois,NEGATIVE,august,60,46.23218189999999,7.403898299999999
bramois,NEGATIVE,july,4,46.23218189999999,7.403898299999999
bramois,NEGATIVE,october,44,46.23218189999999,7.403898299999999
bramois,NEGATIVE,september,70,46.23218189999999,7.403898299999999
breil,POSITIVE,august,7,46.76756320000001,9.0622845
breil,POSITIVE,july,2,46.76756320000001,9.0622845
breil,NEGATIVE,october,2,46.76756320000001,9.0622845
breil,NEGATIVE,september,8,46.76756320000001,9.0622845
bronschhofen,POSITIVE,august,13,47.48032445,9.05149932746811
bronschhofen,POSITIVE,july,16,47.48032445,9.05149932746811
bubendorf,POSITIVE,august,2,47.44668400000001,7.73535
bubendorf,POSITIVE,october,3,47.44668400000001,7.73535
bubendorf,POSITIVE,september,1,47.44668400000001,7.73535
bursins,POSITIVE,october,2,46.4515535,6.290636900000001
bursins,NEGATIVE,september,2,46.4515535,6.290636900000001
burtigny,POSITIVE,october,1,46.4687203,6.2567707000000015
burtigny,POSITIVE,september,1,46.4687203,6.2567707000000015
buttikon,POSITIVE,october,1,47.32601470000001,8.2677621
bâle,POSITIVE,april,18,47.55810770000001,7.5878261
bâle,NEGATIVE,august,62,47.55810770000001,7.5878261
bâle,POSITIVE,february,26,47.55810770000001,7.5878261
bâle,POSITIVE,january,17,47.55810770000001,7.5878261
bâle,NEGATIVE,july,8,47.55810770000001,7.5878261
bâle,POSITIVE,june,17,47.55810770000001,7.5878261
bâle,POSITIVE,march,38,47.55810770000001,7.5878261
bâle,POSITIVE,may,30,47.55810770000001,7.5878261
bâle,POSITIVE,october,33,47.55810770000001,7.5878261
bâle,POSITIVE,september,43,47.55810770000001,7.5878261
bâsel,POSITIVE,october,1,47.55810770000001,7.5878261
bäretswil,POSITIVE,august,1,47.3360247,8.8580536
bärn,POSITIVE,august,30,46.9482713,7.4514512
bärn,NEGATIVE,july,1,46.9482713,7.4514512
bärn,POSITIVE,may,3,46.9482713,7.4514512
bärn,POSITIVE,october,15,46.9482713,7.4514512
bärn,POSITIVE,september,58,46.9482713,7.4514512
bönigen,POSITIVE,august,10,46.6887343,7.8949281
bönigen,NEGATIVE,july,2,46.6887343,7.8949281
bönigen,NEGATIVE,may,9,46.6887343,7.8949281
bönigen,NEGATIVE,october,7,46.6887343,7.8949281
bönigen,NEGATIVE,september,1,46.6887343,7.8949281
bülach,POSITIVE,april,183,47.5200297,8.543307400000002
bülach,POSITIVE,august,237,47.5200297,8.543307400000002
bülach,POSITIVE,february,207,47.5200297,8.543307400000002
bülach,POSITIVE,january,81,47.5200297,8.543307400000002
bülach,POSITIVE,july,25,47.5200297,8.543307400000002
bülach,POSITIVE,june,132,47.5200297,8.543307400000002
bülach,POSITIVE,march,159,47.5200297,8.543307400000002
bülach,POSITIVE,may,185,47.5200297,8.543307400000002
bülach,POSITIVE,october,192,47.5200297,8.543307400000002
bülach,POSITIVE,september,273,47.5200297,8.543307400000002
bünzen,POSITIVE,august,1,47.3116613,8.3260392
bünzen,NEGATIVE,september,1,47.3116613,8.3260392
bürglen,NEGATIVE,august,1,47.2575984,8.5373809
bürglen,POSITIVE,october,5,47.2575984,8.5373809
bürglen,NEGATIVE,september,1,47.2575984,8.5373809
büsserach,NEGATIVE,august,4,47.3915791,7.5405238
büsserach,NEGATIVE,october,4,47.3915791,7.5405238
büsserach,POSITIVE,september,3,47.3915791,7.5405238
büttikon,POSITIVE,july,1,47.32601470000001,8.2677621
büttikon,POSITIVE,october,3,47.32601470000001,8.2677621
büttikon,POSITIVE,september,4,47.32601470000001,8.2677621
bützberg,POSITIVE,august,2,47.2138471,7.7426303
bützberg,POSITIVE,october,2,47.2138471,7.7426303
bützberg,NEGATIVE,september,1,47.2138471,7.7426303
cadempino,POSITIVE,august,1,46.0333917,8.9314621
cadenazzo,POSITIVE,august,9,46.15096970000001,8.945870300000003
cadenazzo,NEGATIVE,october,1,46.15096970000001,8.945870300000003
cadenazzo,NEGATIVE,september,4,46.15096970000001,8.945870300000003
camorino,POSITIVE,october,2,46.1636431,9.0057614
capriasca,POSITIVE,july,1,46.0673692,8.9714894
capriasca,NEGATIVE,october,1,46.0673692,8.9714894
carouge,NEGATIVE,august,373,46.1846691,6.1396839000000005
carouge,NEGATIVE,july,66,46.1846691,6.1396839000000005
carouge,POSITIVE,may,13,46.1846691,6.1396839000000005
carouge,NEGATIVE,october,285,46.1846691,6.1396839000000005
carouge,NEGATIVE,september,331,46.1846691,6.1396839000000005
cazis,NEGATIVE,august,2,46.7377176,9.40353862282802
cazis,NEGATIVE,october,2,46.7377176,9.40353862282802
cazis,NEGATIVE,september,4,46.7377176,9.40353862282802
celerina,POSITIVE,august,6,46.5132296,9.8586248
celerina,NEGATIVE,july,2,46.5132296,9.8586248
celerina,POSITIVE,october,16,46.5132296,9.8586248
celerina,NEGATIVE,september,10,46.5132296,9.8586248
champery,POSITIVE,august,1,46.1756791,6.8687665
champery,POSITIVE,october,2,46.1756791,6.8687665
champsec,POSITIVE,august,1,46.0567616,7.243235799999999
charmilles,NEGATIVE,august,36,46.20815770000001,6.1274194
charmilles,NEGATIVE,july,2,46.20815770000001,6.1274194
charmilles,POSITIVE,june,1,46.20815770000001,6.1274194
charmilles,NEGATIVE,may,4,46.20815770000001,6.1274194
charmilles,NEGATIVE,october,12,46.20815770000001,6.1274194
charmilles,NEGATIVE,september,7,46.20815770000001,6.1274194
chevilly,POSITIVE,august,12,46.642766,6.4771672
chevilly,POSITIVE,july,2,46.642766,6.4771672
chevilly,POSITIVE,october,7,46.642766,6.4771672
chevilly,POSITIVE,september,3,46.642766,6.4771672
collombey,POSITIVE,august,24,46.2676732,6.94607
collombey,POSITIVE,july,2,46.2676732,6.94607
collombey,POSITIVE,may,2,46.2676732,6.94607
collombey,POSITIVE,october,21,46.2676732,6.94607
collombey,POSITIVE,september,36,46.2676732,6.94607
commeire,POSITIVE,september,3,46.023686,7.1661795
commugny,POSITIVE,august,8,46.3182308,6.1757684
commugny,NEGATIVE,july,1,46.3182308,6.1757684
commugny,NEGATIVE,october,5,46.3182308,6.1757684
commugny,POSITIVE,september,12,46.3182308,6.1757684
confederaziun,POSITIVE,august,4,46.7985624,8.231973599999998
confederaziun,NEGATIVE,october,3,46.7985624,8.231973599999998
confederaziun,NEGATIVE,september,5,46.7985624,8.231973599999998
confoederatio,NEGATIVE,april,4,46.7985624,8.231973599999998
confoederatio,POSITIVE,august,8,46.7985624,8.231973599999998
confoederatio,POSITIVE,february,15,46.7985624,8.231973599999998
confoederatio,POSITIVE,january,4,46.7985624,8.231973599999998
confoederatio,NEGATIVE,july,1,46.7985624,8.231973599999998
confoederatio,NEGATIVE,june,13,46.7985624,8.231973599999998
confoederatio,POSITIVE,march,11,46.7985624,8.231973599999998
confoederatio,POSITIVE,may,7,46.7985624,8.231973599999998
confoederatio,POSITIVE,october,7,46.7985624,8.231973599999998
confoederatio,NEGATIVE,september,11,46.7985624,8.231973599999998
conthey,NEGATIVE,april,7,46.22797960000001,7.3044209
conthey,NEGATIVE,august,175,46.22797960000001,7.3044209
conthey,NEGATIVE,february,12,46.22797960000001,7.3044209
conthey,NEGATIVE,january,14,46.22797960000001,7.3044209
conthey,NEGATIVE,july,32,46.22797960000001,7.3044209
conthey,POSITIVE,june,4,46.22797960000001,7.3044209
conthey,NEGATIVE,march,9,46.22797960000001,7.3044209
conthey,NEGATIVE,may,70,46.22797960000001,7.3044209
conthey,NEGATIVE,october,206,46.22797960000001,7.3044209
conthey,NEGATIVE,september,198,46.22797960000001,7.3044209
contone,NEGATIVE,august,1,46.1487696,8.9261455
contone,NEGATIVE,october,1,46.1487696,8.9261455
contone,POSITIVE,september,2,46.1487696,8.9261455
coppet,POSITIVE,august,2,46.316338,6.1929509000000005
coppet,POSITIVE,october,5,46.316338,6.1929509000000005
coppet,POSITIVE,september,2,46.316338,6.1929509000000005
cordast,POSITIVE,october,4,46.87563220000001,7.1484443
corgémont,POSITIVE,august,10,47.1947486,7.144781599999999
corgémont,POSITIVE,july,1,47.1947486,7.144781599999999
corgémont,POSITIVE,october,12,47.1947486,7.144781599999999
corgémont,POSITIVE,september,11,47.1947486,7.144781599999999
corminboeuf,POSITIVE,august,8,46.8116318,7.105248599999999
corminboeuf,POSITIVE,july,2,46.8116318,7.105248599999999
corminboeuf,POSITIVE,october,4,46.8116318,7.105248599999999
corminboeuf,NEGATIVE,september,2,46.8116318,7.105248599999999
corsier,NEGATIVE,august,26,46.2626753,6.2250187000000015
corsier,NEGATIVE,september,1,46.2626753,6.2250187000000015
cortaillod,POSITIVE,august,39,46.9432319,6.8458944000000015
cortaillod,POSITIVE,october,19,46.9432319,6.8458944000000015
cortaillod,POSITIVE,september,34,46.9432319,6.8458944000000015
cossonay,POSITIVE,october,2,46.613820200000006,6.508938
cossonay,NEGATIVE,september,1,46.613820200000006,6.508938
cottens,NEGATIVE,october,2,46.5718814,6.4547941
cottens,NEGATIVE,september,1,46.5718814,6.4547941
courroux,NEGATIVE,october,2,47.359922,7.3782917
courroux,POSITIVE,september,1,47.359922,7.3782917
courtepin,POSITIVE,august,2,46.8660381,7.1228659
crans,POSITIVE,august,11,46.30688189999999,7.4687012
crans,POSITIVE,october,13,46.30688189999999,7.4687012
crans,POSITIVE,september,18,46.30688189999999,7.4687012
crassier,POSITIVE,august,2,46.374331,6.164548
crassier,NEGATIVE,september,1,46.374331,6.164548
cressier,POSITIVE,august,18,46.8986683,7.1417574
cressier,POSITIVE,july,4,46.8986683,7.1417574
cressier,POSITIVE,october,24,46.8986683,7.1417574
cressier,POSITIVE,september,15,46.8986683,7.1417574
crissier,NEGATIVE,august,3,46.5538658,6.577250099999999
crissier,POSITIVE,october,9,46.5538658,6.577250099999999
crissier,POSITIVE,september,4,46.5538658,6.577250099999999
cudrefin,NEGATIVE,august,3,46.9564679,7.0185419000000016
cudrefin,NEGATIVE,october,4,46.9564679,7.0185419000000016
cudrefin,NEGATIVE,september,6,46.9564679,7.0185419000000016
cugnasco,NEGATIVE,august,1,46.176498,8.9233539
cuimey,POSITIVE,september,2,46.204557,7.5909347999999985
cunter,NEGATIVE,august,5,46.6075848,9.5925023
cunter,NEGATIVE,july,1,46.6075848,9.5925023
cunter,POSITIVE,october,8,46.6075848,9.5925023
cunter,NEGATIVE,september,4,46.6075848,9.5925023
dallenwil,POSITIVE,august,1,46.933072,8.3911486
dallenwil,NEGATIVE,october,1,46.933072,8.3911486
dallenwil,NEGATIVE,september,1,46.933072,8.3911486
davos,POSITIVE,august,93,46.7961744,9.8237266
davos,POSITIVE,july,13,46.7961744,9.8237266
davos,POSITIVE,may,11,46.7961744,9.8237266
davos,POSITIVE,october,93,46.7961744,9.8237266
davos,POSITIVE,september,93,46.7961744,9.8237266
domdidier,NEGATIVE,august,24,46.8666493,7.0133352
domdidier,NEGATIVE,july,4,46.8666493,7.0133352
domdidier,POSITIVE,may,6,46.8666493,7.0133352
domdidier,NEGATIVE,october,14,46.8666493,7.0133352
domdidier,NEGATIVE,september,18,46.8666493,7.0133352
dulliken,NEGATIVE,august,7,47.3537179,7.942468099999998
dulliken,POSITIVE,october,22,47.3537179,7.942468099999998
dulliken,POSITIVE,september,16,47.3537179,7.942468099999998
dänikon,NEGATIVE,august,3,47.445933,8.4057151
dänikon,POSITIVE,september,1,47.445933,8.4057151
dättwil,POSITIVE,august,1,47.4537333,8.2849682
dättwil,POSITIVE,july,2,47.4537333,8.2849682
dättwil,POSITIVE,october,4,47.4537333,8.2849682
dättwil,POSITIVE,september,6,47.4537333,8.2849682
dübendorf,NEGATIVE,august,122,47.3968244,8.6183023
dübendorf,POSITIVE,july,9,47.3968244,8.6183023
dübendorf,POSITIVE,may,8,47.3968244,8.6183023
dübendorf,POSITIVE,october,146,47.3968244,8.6183023
dübendorf,POSITIVE,september,128,47.3968244,8.6183023
düdingen,NEGATIVE,august,6,46.849747,7.1904436
düdingen,NEGATIVE,july,3,46.849747,7.1904436
düdingen,NEGATIVE,october,17,46.849747,7.1904436
düdingen,NEGATIVE,september,19,46.849747,7.1904436
dürnten,POSITIVE,august,30,47.2778545,8.842203
dürnten,POSITIVE,july,2,47.2778545,8.842203
dürnten,POSITIVE,october,41,47.2778545,8.842203
dürnten,POSITIVE,september,26,47.2778545,8.842203
dürrenäsch,POSITIVE,august,2,47.3215135,8.1571142
dürrenäsch,POSITIVE,october,3,47.3215135,8.1571142
dürrenäsch,POSITIVE,september,6,47.3215135,8.1571142
eawag,POSITIVE,september,1,47.4048009,8.60968996763299
ebertswil,POSITIVE,august,2,47.2266332,8.5492498
ebertswil,NEGATIVE,july,1,47.2266332,8.5492498
