City,Sentiment,Month,Language,Count,Latitude,Longitude
Ascona,POSITIVE,august,en,71,46.1554222,8.7707865
Ascona,POSITIVE,august,fr,7,46.1554222,8.7707865
Ascona,POSITIVE,july,de,1,46.1554222,8.7707865
Ascona,POSITIVE,july,en,53,46.1554222,8.7707865
Ascona,POSITIVE,july,fr,1,46.1554222,8.7707865
Ascona,POSITIVE,may,en,13,46.1554222,8.7707865
Ascona,NEGATIVE,may,fr,1,46.1554222,8.7707865
Ascona,POSITIVE,october,de,1,46.1554222,8.7707865
Ascona,POSITIVE,october,en,57,46.1554222,8.7707865
Ascona,POSITIVE,october,fr,4,46.1554222,8.7707865
Ascona,POSITIVE,september,de,3,46.1554222,8.7707865
Ascona,POSITIVE,september,en,53,46.1554222,8.7707865
Ascona,NEGATIVE,september,fr,3,46.1554222,8.7707865
Attalens,POSITIVE,august,en,1,46.5110996,6.848969599999998
Attalens,POSITIVE,august,fr,3,46.5110996,6.848969599999998
Attalens,POSITIVE,july,fr,2,46.5110996,6.848969599999998
Attalens,POSITIVE,october,en,2,46.5110996,6.848969599999998
Attalens,POSITIVE,october,fr,3,46.5110996,6.848969599999998
Attalens,POSITIVE,september,en,2,46.5110996,6.848969599999998
Attalens,POSITIVE,september,fr,2,46.5110996,6.848969599999998
Aubonne,POSITIVE,august,de,1,46.4952916,6.3915748
Aubonne,POSITIVE,august,en,4,46.4952916,6.3915748
Aubonne,POSITIVE,august,fr,1,46.4952916,6.3915748
Aubonne,NEGATIVE,july,en,6,46.4952916,6.3915748
Aubonne,POSITIVE,july,fr,6,46.4952916,6.3915748
Aubonne,POSITIVE,october,en,36,46.4952916,6.3915748
Aubonne,NEGATIVE,october,fr,1,46.4952916,6.3915748
Aubonne,POSITIVE,september,en,23,46.4952916,6.3915748
Aubonne,POSITIVE,september,fr,1,46.4952916,6.3915748
Auenstein,POSITIVE,august,de,41,47.4168206,8.1370602
Auenstein,NEGATIVE,august,en,1,47.4168206,8.1370602
Auenstein,NEGATIVE,july,de,1,47.4168206,8.1370602
Auenstein,POSITIVE,may,de,3,47.4168206,8.1370602
Auenstein,POSITIVE,october,de,32,47.4168206,8.1370602
Auenstein,POSITIVE,september,de,50,47.4168206,8.1370602
Augio,POSITIVE,may,fr,3,46.364975,9.12689
Augio,POSITIVE,october,fr,4,46.364975,9.12689
Augustinergasse,POSITIVE,august,de,2,47.3722321,8.5391738
Augustinergasse,POSITIVE,october,de,2,47.3722321,8.5391738
Augustinergasse,POSITIVE,september,de,7,47.3722321,8.5391738
Auslikon,POSITIVE,june,en,1,47.3446877,8.8063754
Auvernier,POSITIVE,august,fr,24,46.9763951,6.8786323000000005
Auvernier,NEGATIVE,october,fr,1,46.9763951,6.8786323000000005
Avenches,NEGATIVE,august,en,1,46.879575,7.040941
Avenches,NEGATIVE,august,fr,17,46.879575,7.040941
Avenches,POSITIVE,july,fr,1,46.879575,7.040941
Avenches,NEGATIVE,october,en,3,46.879575,7.040941
